time,round,kp,ki,kd,peak,peak-error,stable-error,performance
0,0,3.12658,0.00517013,0.5,103.25,10.25,2.45981,12.7098
983.546,0,3.16888,0.00510591,0.5,101.5,8.5,2.45367,10.9537
1951.65,0,3.62274,0.00355214,0.5,102.25,9.25,2.65774,11.9077
2928.49,0,2.67125,0.00529033,0.5,102.5,9.5,3.5302,13.0302
3882.69,0,2.37113,0.00434032,0.5,99.75,6.75,1.31347,8.06347
4884.81,0,2.68064,0.00551248,0.5,101,8,1.64526,9.64526
5891.56,0,2.29975,0.00584168,0.5,102.5,9.5,1.8138,11.3138
6898.17,0,2.63606,0.00690457,0.5,104,11,1.56573,12.5657
7953.82,0,3.14119,0.00457563,0.5,104.75,11.75,1.43013,13.1801
8995.23,0,2.57536,0.00422157,0.5,103.75,10.75,2.7947,13.5447
9993.51,0,3.01435,0.00554986,0.5,101.75,8.75,2.02304,10.773
10991.3,0,2.80055,0.00566708,0.5,105,12,2.39229,14.3923
12008.1,0,2.96185,0.00529554,0.5,106.75,13.75,1.79709,15.5471
12986.8,0,2.96313,0.00654665,0.5,208.75,115.75,2.6624,118.412
13922.2,0,2.50158,0.00517628,0.5,177.25,84.25,2.35575,86.6058
14946.9,0,2.91458,0.00483858,0.5,140.5,47.5,1.80845,49.3084
15944.1,0,2.89933,0.00550478,0.5,112.5,19.5,2.54019,22.0402
16943.3,0,3.49185,0.00424429,0.5,141.75,48.75,1.65115,50.4011
17983.4,0,3.10319,0.00619774,0.5,102.25,9.25,3.29413,12.5441
18969.1,0,3.51269,0.00509378,0.5,102.75,9.75,2.42717,12.1772
19993.3,0,1.73863,0.00377333,0.5,103,10,3.03144,13.0314
20986.5,0,1.98392,0.00261565,0.5,97.25,4.25,0.375718,4.62572
23210.1,0,1.54355,0.00201875,0.5,95.5,2.5,1.51038,4.01038
24258.1,0,1.86769,0.003071,0.5,93.5,0.5,0.399353,0.899353
25298.8,0,1.35041,0.00274424,0.5,95.75,2.75,0.331533,3.08153
26394,0,1.7578,0.0024985,0.5,95.75,2.75,0.245652,2.99565
27683.2,0,1.73292,0.00119904,0.5,95,2,0.825248,2.82525
28726.9,0,1.16415,0.00324976,0.5,93.75,0.75,0.923239,1.67324
32266.6,0,1.86697,0.00200354,0.5,96.75,3.75,0.256384,4.00638
33828,0,1.43533,0.00210432,0.5,94,1,1.25987,2.25987
34808.7,0,1.45853,0.001,0.5,94,1,0.260553,1.26055
38015.2,0,1.19965,0.001,0.5,93.25,0.25,0.434255,0.684255
42410.8,0,1,0.001,0.5,94.5,1.5,0.234429,1.73443
46323.5,0,1.08817,0.001,0.5,93.5,0.5,0.229786,0.729786
50529.6,0,1,0.001,0.5,93.5,0.5,0.643268,1.14327
56089.3,0,1.74745,0.00230613,0.5,93.5,0.5,0.202357,0.702357
61187.3,0,1.56918,0.00150047,0.5,93.5,0.5,0.642429,1.14243
62173.2,0,1.76101,0.00182179,0.5,94.25,1.25,0.566675,1.81668
66421,0,1,0.00207325,0.5,102.5,9.5,0.579834,10.0798
69001.8,0,1.93561,0.00245828,0.5,93.5,0.5,0.268697,0.768697
70543.5,0,1,0.00149145,0.5,95,2,1.46069,3.46069
71510.6,0,1,0.001,0.5,95.75,2.75,0.886926,3.63693
74329.7,0,1.4539,0.00274537,0.5,94,1,0.29361,1.29361
77685.6,0,1.72205,0.00109512,0.5,96.5,3.5,1.04479,4.54479
78716.7,0,1.28387,0.0019276,0.5,96,3,1.09712,4.09712
